"WC_ID";"WC_Text";"WC_luecken"
"147";"A wisecracking terrorist.";"0"
"148";"A zesty breakfast burrito.";"0"
"149";"Aaron Burr.";"0"
"150";"Abstinence.";"0"
"151";"Academy Award winner Meryl Streep.";"0"
"152";"Accepting the way things are.";"0"
"153";"Accidentally slipping yourself a roofie.";"0"
"154";"Active listening.";"0"
"155";"Actually giving a shit";"0"
"156";"Actually taking candy from a baby.";"0"
"157";"Adderall???.";"0"
"158";"Adult Friendfinder.";"0"
"159";"Advice from a wise, old black man.";"0"
"160";"African children.";"0"
"161";"Agriculture.";"0"
"162";"AIDS.";"0"
"163";"Alcohol poisoning.";"0"
"164";"Alcoholism.";"0"
"165";"Alexandria Ocasio-Cortez.";"0"
"166";"All four prongs of an echidna's penis.";"0"
"167";"All my gentleman suitors.";"0"
"168";"all pants are half off today";"0"
"169";"All the dudes I've fucked.";"0"
"170";"All-you-can-eat shrimp for $4.99.";"0"
"171";"All-you-can-eat shrimp for $8.99.";"0"
"172";"Altar boys.";"0"
"173";"America.";"0"
"174";"American Gladiators.";"0"
"175";"Americanization.";"0"
"176";"Amputees.";"0"
"177";"An AK-47 assault rifle.";"0"
"178";"An AK-47.";"0"
"179";"An AR-15 assault rifle.";"0"
"180";"An argument with Richard Dawkins.";"0"
"181";"An Army of smack heads with HIV infected needles.";"0"
"182";"An ass like two football helmets.";"0"
"183";"An asymmetric boob job.";"0"
"184";"An endless stream of diarrhea.";"0"
"185";"An endless stream of diarrhoea.";"0"
"186";"An entrenched class system.";"0"
"187";"An erection that lasts longer than four hours.";"0"
"188";"An Evening with Michael Buble.";"0"
"189";"An evil man in evil clothes.";"0"
"190";"An honest cop with nothing left to lose.";"0"
"191";"An icepick lobotomy.";"0"
"192";"An icy handjob from an Edmonton hooker.";"0"
"193";"An M. Night Shyamalan plot twist.";"0"
"194";"An M16 assault rifle.";"0"
"195";"An octopus giving seven handjobs and smoking a cigarette.";"0"
"196";"An Oedipus complex.";"0"
"197";"An old guy who's almost dead.";"0"
"198";"An older woman who knows her way around the penis.";"0"
"199";"An oversized lollipop.";"0"
"200";"An ugly face.";"0"
"201";"An unsurprising rash.";"0"
"202";"An unwanted pregnancy.";"0"
"203";"An uppercut.";"0"
"204";"Anal beads.";"0"
"205";"Announcing that I am about to cum.";"0"
"206";"Another goddamn vampire movie.";"0"
"207";"Another surprising Osprey crash.";"0"
"208";"Anything that comes out of Prince Philip's mouth.";"0"
"209";"Apologizing.";"0"
"210";"Arnold Vosloo.";"0"
"211";"Asians who aren't good at math.";"0"
"212";"Assless chaps.";"0"
"213";"Attitude.";"0"
"214";"Auschwitz.";"0"
"215";"Australia.";"0"
"216";"Authentic Mexican cuisine.";"0"
"217";"Autocannibalism.";"0"
"218";"AXE Body Spray.";"0"
"219";"Badger culling.";"0"
"220";"Ball-by-ball commentary from Richie Benaud.";"0"
"221";"Balls. Big balls. Really big balls.";"0"
"222";"Bananas in Pajamas.";"0"
"223";"Bananas.";"0"
"224";"Barack Obama.";"0"
"225";"Barely making $25,000 a year.";"0"
"226";"Basic trainees.";"0"
"227";"BATMAN!";"0"
"228";"BATMAN!!!";"0"
"229";"Battlefield amputations.";"0"
"230";"Becoming a blueberry.";"0"
"231";"Bees?";"0"
"232";"Being a busy adult with many important things to do.";"0"
"233";"Being a dick to children.";"0"
"234";"Being a dinosaur.";"0"
"235";"Being a hideous beast that no one could love.";"0"
"236";"Being a motherfucking sorcerer.";"0"
"237";"Being a woman.";"0"
"238";"Being able to talk to elephants.";"0"
"239";"Being back-to-back World War Champions!";"0"
"240";"Being black.";"0"
"241";"Being Canadian.";"0"
"242";"Being fabulous.";"0"
"243";"Being fat and stupid.";"0"
"244";"Being hunted like a fox.";"0"
"245";"Being marginalised.";"0"
"246";"Being marginalized.";"0"
"247";"Being on fire.";"0"
"248";"Being rich.";"0"
"249";"Being white.";"0"
"250";"Benedict Cumberbatch.";"0"
"251";"Bestiality.";"0"
"252";"Bill Nye the Science Guy.";"0"
"253";"Bingeing and purging.";"0"
"254";"Bio-engineered assault turtles with acid breath.";"0"
"255";"Bisexuality.";"0"
"256";"Bitches.";"0"
"257";"Black people.";"0"
"258";"Bling.";"0"
"259";"Blood fisting";"0"
"260";"Blood, toil, tears, and sweat.";"0"
"261";"Blowing my boyfriend so hard he shits.";"0"
"262";"Blowing up Parliament.";"0"
"263";"Boat people; half boat, half human.";"0"
"264";"Bogies.";"0"
"265";"Bond, James Bond.";"0"
"266";"Bono.";"0"
"267";"Booby-trapping the house to foil burglars.";"0"
"268";"Boogers.";"0"
"269";"Bosnian chicken farmers.";"0"
"270";"Braiding three penises into a Curly Wurly.";"0"
"271";"Braiding three penises into a licorice twist.";"0"
"272";"Braiding three penises into a Twizzler.";"0"
"273";"Breaking out into song and dance.";"0"
"274";"Brexit.";"0"
"275";"Britney Spears at 55.";"0"
"276";"Brown people.";"0"
"277";"Bubble butt bottom boys.";"0"
"278";"Buckfast Tonic Wine.";"0"
"279";"Bullshitting my ass off.";"0"
"280";"Burning down the White House.";"0"
"281";"Buying the right toothbrush cup for my lifestyle.";"0"
"282";"Canada: America's Hat.";"0"
"283";"Canadian Netflix.";"0"
"284";"Canned tuna with extra dolphin.";"0"
"285";"Capturing Newt Gingrich and forcing him to dance in a monkey suit.";"0"
"286";"Cardi B.";"0"
"287";"Cards Against Humanity.";"0"
"288";"Cashed-up bogans.";"0"
"289";"Casually suggesting a threesome.";"0"
"290";"Catapults.";"0"
"291";"Centaurs.";"0"
"292";"Chainsaws for hands.";"0"
"293";"Charisma.";"0"
"294";"Cheating in the Paralympics.";"0"
"295";"Cheating in the Special Olympics.";"0"
"296";"Cheeky bum sex.";"0"
"297";"Chemical weapons.";"0"
"298";"Child abuse.";"0"
"299";"Child beauty pageants.";"0"
"300";"Children on leashes.";"0"
"301";"Chivalry.";"0"
"302";"Christopher Walken.";"0"
"303";"Chundering into a kangaroo's pouch.";"0"
"304";"Chunks of dead backpacker.";"0"
"305";"Chunks of dead hitchhiker.";"0"
"306";"Chunks of dead prostitute.";"0"
"307";"Chutzpah.";"0"
"308";"Civilian casualties.";"0"
"309";"Classist undertones.";"0"
"310";"Clive Palmer's soft, shitty body.";"0"
"311";"Clubbing baby seals.";"0"
"312";"Coat hanger abortions.";"0"
"313";"Cockasaurus rex: the horniest dinosaur of them all.";"0"
"314";"Cockfights.";"0"
"315";"College.";"0"
"316";"Committing suicide.";"0"
"317";"Completely unwarranted confidence.";"0"
"318";"Concealing a boner.";"0"
"319";"Concealing an erection.";"0"
"320";"Consensual sex.";"0"
"321";"Consultants.";"0"
"322";"Contagious face cancer.";"0"
"323";"Converting to Islam.";"0"
"324";"Cookie Monster devouring the Eucharist wafers.";"0"
"325";"Copping a feel.";"0"
"326";"Cottaging.";"0"
"327";"Count Chocula.";"0"
"328";"Court-ordered rehab.";"0"
"329";"Covering myself with Parmesan cheese and chili flakes because I am pizza.";"0"
"330";"Crazy hot cousin sex.";"0"
"331";"Creed.";"0"
"332";"Crippling debt.";"0"
"333";"Crucifixion.";"0"
"334";"Crumbs all over the bloody carpet.";"0"
"335";"Crumbs all over the god damn carpet.";"0"
"336";"Crumpets with the Queen.";"0"
"337";"Crystal meth.";"0"
"338";"Cuddling.";"0"
"339";"Cumming deep inside my best bro.";"0"
"340";"Customer service representatives.";"0"
"341";"Cybernetic enhancements.";"0"
"342";"Dad's funny balls.";"0"
"343";"Daddies Brown Sauce";"0"
"344";"Daddies?? Brown Sauce.";"0"
"345";"Daddy issues.";"0"
"346";"Daddy's credit card.";"0"
"347";"Daniel Radcliffe's delicious arsehole.";"0"
"348";"Daniel Radcliffe's delicious asshole.";"0"
"349";"Danny DeVito.";"0"
"350";"Dark and mysterious forces beyond our control.";"0"
"351";"Darth Vader.";"0"
"352";"Date rape.";"0"
"353";"Dave Matthews Band.";"0"
"354";"David Bowie flying in on a tiger made of lightning.";"0"
"355";"David Cameron.";"0"
"356";"Dead babies.";"0"
"357";"Dead birds everywhere.";"0"
"358";"Dead parents.";"0"
"359";"Deflowering the princess.";"0"
"360";"Dental dams.";"0"
"361";"Denying sex to play video games.";"0"
"362";"Destroying the evidence.";"0"
"363";"Dick Cheney.";"0"
"364";"Dick fingers.";"0"
"365";"Dick pics.";"0"
"366";"Dining with cardboard cutouts of the cast of Friends.";"0"
"367";"Dirty nappies.";"0"
"368";"Disco Inferno.";"0"
"369";"Diversity.";"0"
"370";"Dogging.";"0"
"371";"Doin' it in the butt.";"0"
"372";"Doin' it up the bum.";"0"
"373";"Doing a shit in Pudsey Bear's eyehole.";"0"
"374";"Doing crimes.";"0"
"375";"Doing it in the butt.";"0"
"376";"Doing the right thing.";"0"
"377";"Domino's??? Oreo??? Dessert Pizza.";"0"
"378";"Don Cherry's wardrobe.";"0"
"379";"Donald J. Trump.";"0"
"380";"Donald Trump's deleted tweets.";"0"
"381";"Double rainbows.";"0"
"382";"Douchebags on their iPhones.";"0"
"383";"Dr. Martin Luther King, Jr.";"0"
"384";"Drinking alone.";"0"
"385";"Drinking out of the toilet and eating garbage.";"0"
"386";"Drinking out of the toilet and eating rubbish.";"0"
"387";"Dropping a baby down the dunny.";"0"
"388";"Dropping a chandelier on your enemies and riding the rope up.";"0"
"389";"Drowning the kids in the bathtub.";"0"
"390";"Druids.";"0"
"391";"Drum circles.";"0"
"392";"Dry heaving.";"0"
"393";"Dwarf tossing.";"0"
"394";"Dwayne ""The Rock"" Johnson.";"0"
"395";"Dying but miraculously getting brought back to life.";"0"
"396";"Dying of dysentery.";"0"
"397";"Dying.";"0"
"398";"Eastern European Turbo-Folk music.";"0"
"399";"Eating a hard boiled egg out of my husband's arsehole.";"0"
"400";"Eating a hard boiled egg out of my husband's asshole.";"0"
"401";"Eating all of the cookies before the AIDS bake-sale.";"0"
"402";"Eating an albino.";"0"
"403";"Eating the last known bison.";"0"
"404";"Eating too much of a lamp.";"0"
"405";"Ecstasy.";"0"
"406";"Ed Balls.";"0"
"407";"Edible underpants.";"0"
"408";"Edible underwear.";"0"
"409";"Egging an MP.";"0"
"410";"Elderly Japanese men.";"0"
"411";"Electricity.";"0"
"412";"Embryonic stem cells.";"0"
"413";"Emerging from the sea and rampaging through Tokyo.";"0"
"414";"Emma Watson.";"0"
"415";"Emotions.";"0"
"416";"England.";"0"
"417";"Erectile dysfunction.";"0"
"418";"Establishing dominance.";"0"
"419";"Eternal awesomeness.";"0"
"420";"Ethnic cleansing.";"0"
"421";"Eugenics.";"0"
"422";"Euphoria??? by Calvin Klein.";"0"
"423";"Exactly what you'd expect.";"0"
"424";"Excalibur.";"0"
"425";"Exchanging pleasantries.";"0"
"426";"Executing a hostage every hour.";"0"
"427";"Existentialists.";"0"
"428";"Exorcism.";"0"
"429";"Expecting a burp and vomiting on the floor.";"0"
"430";"Explaining how vaginas work.";"0"
"431";"Explosions.";"0"
"432";"Extremely tight jeans.";"0"
"433";"Extremely tight pants.";"0"
"434";"Extremely tight trousers.";"0"
"435";"Facebook.";"0"
"436";"Fading away into nothingness.";"0"
"437";"Faffing about.";"0"
"438";"Faith healing.";"0"
"439";"Fake tits.";"0"
"440";"FALCON PUNCH!!!";"0"
"441";"Famine.";"0"
"442";"Fancy Feast??.";"0"
"443";"Farting and walking away.";"0"
"444";"Farting into your petticoats and wafting it at Lord Gregory.";"0"
"445";"Fear itself.";"0"
"446";"Feeding Rosie O'Donnell.";"0"
"447";"Fellowship in Christ.";"0"
"448";"Fiery poops.";"0"
"449";"Fiery poos.";"0"
"450";"Figgy pudding.";"0"
"451";"Filling my briefcase with business stuff.";"0"
"452";"Filling my son with spaghetti.";"0"
"453";"Filling Sean Hannity with helium and watching him float away.";"0"
"454";"Finger painting.";"0"
"455";"Fingering.";"0"
"456";"Firing a rifle into the air while balls deep in a squealing hog.";"0"
"457";"Fitting all your blongings into a seabag.";"0"
"458";"Five litres of Special Brew.";"0"
"459";"Five-Dollar Footlongs???.";"0"
"460";"Flash flooding.";"0"
"461";"Flavored condoms.";"0"
"462";"Flesh-eating bacteria.";"0"
"463";"Flightless birds.";"0"
"464";"Flying saucers";"0"
"465";"Flying sex snakes.";"0"
"466";"Forced sterilisation.";"0"
"467";"Forced sterilization.";"0"
"468";"Foreskin.";"0"
"469";"Forgetting the Alamo.";"0"
"470";"Former President George W. Bush.";"0"
"471";"Four Loko.";"0"
"472";"Fox News.";"0"
"473";"Fragile masculinity.";"0"
"474";"Free samples.";"0"
"475";"Friction.";"0"
"476";"Friendly fire.";"0"
"477";"Friends who eat all the snacks.";"0"
"478";"Friends who eat all your snacks.";"0"
"479";"Friends with benefits.";"0"
"480";"Frolicking.";"0"
"481";"Front butt.";"0"
"482";"Fucking my sister.";"0"
"483";"Fucking the weatherman on live television.";"0"
"484";"Full frontal nudity.";"0"
"485";"Funky fresh rhymes.";"0"
"486";"Gandalf.";"0"
"487";"Gandhi.";"0"
"488";"Garth Brooks.";"0"
"489";"Gary Coleman.";"0"
"490";"Gary Glitter.";"0"
"491";"Gay animals.";"0"
"492";"Gay conversion therapy.";"0"
"493";"Geese.";"0"
"494";"Genetically engineered super-soldiers.";"0"
"495";"Genghis Khan.";"0"
"496";"Genital piercings.";"0"
"497";"Gentleman's Relish??.";"0"
"498";"Genuine human connection.";"0"
"499";"German Chancellor Angela Merkel.";"0"
"500";"German dungeon porn.";"0"
"501";"Germans on holiday.";"0"
"502";"Getting a DUI on a Zamboni.";"0"
"503";"Getting crushed by a vending machine.";"0"
"504";"Getting cummed on.";"0"
"505";"Getting drugs off the street and into my body.";"0"
"506";"Getting drunk on mouthwash.";"0"
"507";"Getting fingered.";"0"
"508";"Getting into a pretty bad car accident.";"0"
"509";"Getting married, having a few kids, buying some stuff, retiring to Florida, and dying.";"0"
"510";"Getting married, having a few kids, buying some stuff, retiring to Queensland, and dying.";"0"
"511";"Getting married, having a few kids, buying some stuff, retiring to the south of France, and dying.";"0"
"512";"Getting naked and watching CBeebies.";"0"
"513";"Getting naked and watching Nickelodeon.";"0"
"514";"Getting naked and watching Play School.";"0"
"515";"Getting pregnant again.";"0"
"516";"Getting really high.";"0"
"517";"Getting so angry that you pop a boner.";"0"
"518";"Getting so angry that you pop a stiffy.";"0"
"519";"Getting wed, having a few kids, taking some pictures, retiring to the south of France, and dying.";"0"
"520";"Ghosts.";"0"
"521";"Girls who shouldn't go wild.";"0"
"522";"Girls.";"0"
"523";"Giving 110%.";"0"
"524";"Giving birth to the Antichrist.";"0"
"525";"Gladiatorial combat.";"0"
"526";"Glassing a wanker.";"0"
"527";"Glenn Beck being harried by a swarm of buzzards.";"0"
"528";"Glenn Beck catching his scrotum on a curtain hook.";"0"
"529";"Glenn Beck convulsively vomiting as a brood of crab spiders hatches in his brain and erupts from his tear ducts.";"0"
"530";"Glenn Beck.";"0"
"531";"Global warming.";"0"
"532";"Gloryholes.";"0"
"533";"Goats eating cans.";"0"
"534";"Goblins.";"0"
"535";"God.";"0"
"536";"GoGurt??.";"0"
"537";"Going an entire day without masturbating.";"0"
"538";"Going around sniffing people's armpits.";"0"
"539";"Golden showers.";"0"
"540";"Good-natured, fun-loving Aussie racism.";"0"
"541";"Grandma.";"0"
"542";"Grandpa's bald spot.";"0"
"543";"Grassroots support";"0"
"544";"Grave robbing.";"0"
"545";"Growing a pair.";"0"
"546";"Guys who don't call.";"0"
"547";"Haggis.";"0"
"548";"Half a kilo of pure China White heroin.";"0"
"549";"Half-assed foreplay.";"0"
"550";"Harry Potter erotica.";"0"
"551";"Have some more kugel.";"0"
"552";"Having a Golden Gaytime.";"0"
"553";"Having a penis.";"0"
"554";"Having a shag in the back of a ute.";"0"
"555";"Having anuses for eyes.";"0"
"556";"Having big dreams but no realistic way to achieve them.";"0"
"557";"Having sex for the first time.";"0"
"558";"Having sex too soon after giving birth.";"0"
"559";"Having sex with every man in Winnipeg.";"0"
"560";"Having sloppy sex as your dog watches.";"0"
"561";"Heartwarming orphans.";"0"
"562";"Heath Ledger.";"0"
"563";"Helplessly giggling at the mention of Hutus and Tutsis.";"0"
"564";"Her Majesty, Queen Elizabeth II.";"0"
"565";"Her Royal Highness, Queen Elizabeth II.";"0"
"566";"Heritage minutes.";"0"
"567";"hermaphroditical Italian pictures";"0"
"568";"Heroin.";"0"
"569";"Heteronormativity.";"0"
"570";"Hillary Clinton's favorite nipple clamps";"0"
"571";"Hip hop jewels.";"0"
"572";"Hipsters.";"0"
"573";"Historically black colleges.";"0"
"574";"Hobos.";"0"
"575";"Holding down a child and farting all over him.";"0"
"576";"Home video of Oprah sobbing into a Lean Cuisine??.";"0"
"577";"Homeless people.";"0"
"578";"Homo milk.";"0"
"579";"Hooning.";"0"
"580";"Hope.";"0"
"581";"Hormone injections.";"0"
"582";"Horrifying laser hair removal accidents.";"0"
"583";"Horse meat.";"0"
"584";"Hospice care.";"0"
"585";"Hot cheese.";"0"
"586";"Hot people.";"0"
"587";"Hot Pockets??.";"0"
"588";"How amazing it is to be on mushrooms.";"0"
"589";"How awesome it is to be white.";"0"
"590";"How bad my daughter fucked up her dance recital.";"0"
"591";"How far I can get my own penis up my butt.";"0"
"592";"How wet my pussy is.";"0"
"593";"However much weed $20 can buy.";"0"
"594";"However much weed ??20 can buy.";"0"
"595";"Huffing spray paint.";"0"
"596";"Huge biceps.";"0"
"597";"Hulk Hogan.";"0"
"598";"Hunting ""accidents"".";"0"
"599";"Hunting accidents.";"0"
"600";"Hurling one's body down a hill in pursuit of a wheel of cheese.";"0"
"601";"Hurricane Katrina.";"0"
"602";"Hurting those closest to me.";"0"
"603";"I'm friends with your dad on Facebook.";"0"
"604";"Ice.";"0"
"605";"Illegal immigrants.";"0"
"606";"Impotence.";"0"
"607";"Improvised explosive devices.";"0"
"608";"Inappropriate yodeling.";"0"
"609";"Incest.";"0"
"610";"Indian burns.";"0"
"611";"Inserting a jam jar into my anus.";"0"
"612";"Inserting a Mason jar into my anus.";"0"
"613";"Intelligent design.";"0"
"614";"intolerably vivid dreams";"0"
"615";"Invading Poland.";"0"
"616";"Irritable Bowel Syndrome.";"0"
"617";"Italians.";"0"
"618";"Itchy pussy.";"0"
"619";"J.D. Power and his associates.";"0"
"620";"Jade Goody's cancerous remains.";"0"
"621";"Jedward.";"0"
"622";"Jehovah's Witnesses.";"0"
"623";"Jennifer Lawrence.";"0"
"624";"Jerking off into a pool of children's tears.";"0"
"625";"Jesus.";"0"
"626";"Jew-fros.";"0"
"627";"Jewish fraternities.";"0"
"628";"Jews, gypsies, and homosexuals.";"0"
"629";"Jibber-jabber.";"0"
"630";"Jimmy Savile.";"0"
"631";"Jobs.";"0"
"632";"Joe Biden.";"0"
"633";"John Howard's eyebrows.";"0"
"634";"John Wilkes Booth.";"0"
"635";"Judge Judy.";"0"
"636";"Judging everyone.";"0"
"637";"Just touching David Beckham's hair.";"0"
"638";"Justin Bieber's favorite burger joint.";"0"
"639";"Justin Trudeau.";"0"
"640";"Juuling.";"0"
"641";"Kamikaze pilots.";"0"
"642";"Kanye West.";"0"
"643";"Keanu Reeves.";"0"
"644";"Keeping Christ in Christmas.";"0"
"645";"Kegel Balls";"0"
"646";"Kibbles 'n Bits???.";"0"
"647";"Kibbles n' Bits.";"0"
"648";"Kids with ass cancer.";"0"
"649";"Kids with bum cancer.";"0"
"650";"Kim Jong-il.";"0"
"651";"Kim Jong-un.";"0"
"652";"Kissing grandma on the forehead and turning off her life support.";"0"
"653";"Kissing nan on the forehead and turning off her life support.";"0"
"654";"Knife crime.";"0"
"655";"Kourtney, Kim, Khloe, Kendall, and Kylie.";"0"
"656";"Ladies, gentlemen, and the undecided.";"0"
"657";"Lads.";"0"
"658";"Lady Gaga.";"0"
"659";"Lance Armstrong's missing testicle.";"0"
"660";"Land mines.";"0"
"661";"Laying an egg.";"0"
"662";"Leaked footage of Kate Middleton's colonoscopy.";"0"
"663";"Leaving an awkward voicemail.";"0"
"664";"Lena Dunham.";"0"
"665";"Leprosy.";"0"
"666";"Letting Gemma collins squirt on your face";"0"
"667";"Letting yourself go.";"0"
"668";"Leveling up.";"0"
"669";"Liberals.";"0"
"670";"Licking things to claim them as your own.";"0"
"671";"Listening to her problems without trying to solve them.";"0"
"672";"Literally eating shit.";"0"
"673";"Little boy penises.";"0"
"674";"Living in a trash can.";"0"
"675";"Living in Yellowknife.";"0"
"676";"Lockjaw.";"0"
"677";"Lokking for your Dad's porn stash";"0"
"678";"Looking in the mirror, applying lipstick, and whispering ""tonight, you will have sex with Tom Cruise.""";"0"
"679";"Loose lips.";"0"
"680";"Lumberjack fantasies.";"0"
"681";"Lunchables???.";"0"
"682";"LYNX?? Body Spray.";"0"
"683";"Mad cow disease.";"0"
"684";"Madeleine McCann.";"0"
"685";"Magnets.";"0"
"686";"Making a list of people to kill.";"0"
"687";"Making a pouty face.";"0"
"688";"Making sex at her.";"0"
"689";"Making the penises kiss.";"0"
"690";"Making up for centuries of oppression with one day of apologising.";"0"
"691";"Man meat.";"0"
"692";"Mansplaining.";"0"
"693";"Many bats.";"0"
"694";"Marky Mark and the Funky Bunch.";"0"
"695";"Martha Stewart's gold plated vagina.";"0"
"696";"Massive, widespread drought.";"0"
"697";"Masturbating.";"0"
"698";"Masturbation.";"0"
"699";"Mathletes.";"0"
"700";"Maureen of Blackpool, Reader's Wife of the Year 1988.";"0"
"701";"Me time.";"0"
"702";"Mean people";"0"
"703";"MechaHitler.";"0"
"704";"Memes.";"0"
"705";"Men discussing their feelings in an emotionally healthy way.";"0"
"706";"Men.";"0"
"707";"Menstrual rage.";"0"
"708";"Mensturation porn";"0"
"709";"Meth.";"0"
"710";"Michael Jackson.";"0"
"711";"Michelle Obama's arms.";"0"
"712";"Mike Pence.";"0"
"713";"Mild racism and extreme homophobia";"0"
"714";"Miley Cyrus at 55.";"0"
"715";"Miley Cyrus.";"0"
"716";"Millions of cane toads.";"0"
"717";"Millwall fans.";"0"
"718";"Mining accidents.";"0"
